commit,message,original_label,corrective_pred,is_refactor_pred,perfective_pred,adaptive_pred,Type,Justification,Comment,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective
03336a980d738426fb76202750befa48f3c1599e,[PATCH 2965/3401] Add marble diagrams for Single operators.--,p,FALSE,FALSE,FALSE,TRUE,perfective,diagrams,,FALSE,TRUE,FALSE,FALSE
0531b8bff5c14d9504beefb4ad47f473e3a22932,[PATCH 0562/3401] Change hasException to hasThrowable--,p,FALSE,FALSE,FALSE,FALSE,perfective,change (name),,TRUE,TRUE,FALSE,FALSE
0950c46beda335819928585f1262dfe1dca78a0b,[PATCH 0356/3401] Trying to extend the Scheduler interface according- to the comments at -19.--,a,FALSE,FALSE,TRUE,FALSE,,,,,,,
0f92fdd8e6422d5b79c610a7fd8409d222315a49,[PATCH 1510/3401] RunAsync method for outputting multiple values--,a,FALSE,FALSE,FALSE,FALSE,,,,,,,
100f571c9a2835d5a30a55374b9be74c147e031f,[PATCH 0176/3401] forEach with Action1 but not Observer--I re-read the MSDN docs and found the previous implementation wasn't complying with the contract.--http://msdn.microsoft.com/en-us/library/hh211815(v=vs.103).aspx--I believe this now does.-,c,FALSE,FALSE,TRUE,FALSE,,,,,,,
12954a69895db8e60522c72557b93c53973dc436,[PATCH 0302/3401] Extract UnsubscribeTester to top level--,p,FALSE,FALSE,FALSE,FALSE,perfective,extract,,TRUE,TRUE,FALSE,FALSE
135b6c13e03dbb519f8163f5ee5b2c8d7c87684c,[PATCH 1755/3401] Some cleaning up--,p,FALSE,FALSE,FALSE,FALSE,perfective,cleaning up,,TRUE,TRUE,FALSE,FALSE
169e7e06ea223bd3fdca2460b74e9cd361439fff,[PATCH 0311/3401] Trying to fix non-deterministic test--- not sure of a way other than putting Thread.sleep in here to give time after each CountDownLatch triggers for the process scheduler to execute the next line of each thread--See https://github.com/Netflix/RxJava/pull/201 for more information.-,c,TRUE,FALSE,FALSE,FALSE,,,,,,,
191f023cf5253ea90647bc091dcaf55ccdce81cc,[PATCH 3272/3401] 1.x: Fix Completable swallows- OnErrorNotImplementedException (-3904)--,c,TRUE,FALSE,FALSE,FALSE,,,,,,,
1945713fd50d0e6740df94fb63358a0939105ab5,[PATCH 1022/3401] Fix unit test after last() changed behavior--,c,TRUE,FALSE,FALSE,FALSE,,,,,,,
232612c800c2583da61b95397141040d3106efda,[PATCH 0257/3401] Incoporate review suggestions.--Splits a compound unit test into to parts.-Uses mockito instead of a bespoke test object.-Removes unused import statements.-Changes the order of the Finally action w.r.t. onComplete/onError.-,p,FALSE,TRUE,TRUE,FALSE,,,,,,,
271eda44a52f5aa8dc1c9dac3679ec3fd0596eab,[PATCH 1744/3401] Fixed byLine test to use line.separator system- property instead of \n.--,c,TRUE,TRUE,FALSE,FALSE,multi,a fix by using a constant instead,uncertain,TRUE,FALSE,FALSE,TRUE
2b0b6845d3c96a4c784d5c0b1b211860909d2f23,[PATCH 0374/3401] Add CompositeSubscription--- also a utility method for creating a Subscription around a Future-,a,FALSE,FALSE,FALSE,TRUE,,,,,,,
2bf53a9a3c6ddd9051a50fdbf9600a2e585f7a35,"[PATCH 3271/3401] Spare a few redundant calls in SleepingAction- around determining the delay value (-3903)--- Remove redundant outer conditional.-- Skip calling into System.currentTimeMillis(), which could potentially result in different values.-",p,FALSE,TRUE,TRUE,FALSE,,,,,,,
2d7b9660ef2825c25f2f3fbeda9acb96c3712575,[PATCH 2227/3401] Adding missing javadocs to TestSubject (-1322)--,p,FALSE,FALSE,FALSE,FALSE,perfective,javadocs,,FALSE,TRUE,FALSE,FALSE
2f40ce3e2a5e244315c16865967f58930f57cf7c,[PATCH 0159/3401] Added takeLast to Observable--,a,FALSE,FALSE,FALSE,TRUE,,,,,,,
35cf457bf5c487afb2d380be17956b3084a1e558,"[PATCH 0575/3401] Reduce duplication by making ""schedule now"" the- special case--Forwards to ""schedule later"" with delay of 0 now.-",p,FALSE,FALSE,FALSE,FALSE,perfective,reduce duplication,,TRUE,TRUE,FALSE,FALSE
36875309b2c4e6276964e013819ba513e23eea24,"[PATCH 1043/3401] Wraps DoOnEach in a SafeObserver--This commit leverages the SafeObserver facility to get the desired-behavior in the face of exceptions.  Specifically, if any of the-operations performed within the doOnEach handler raises an exception,-that exception will propagate through the observable chain.-",c,FALSE,FALSE,FALSE,FALSE,,,,,,,
387c765e345c46a74a403aa2b8e3b7c634864087,"[PATCH 2098/3401] Switch to AtomicIntegerFieldUpdater and volatile- int, instead of AtomicBoolean--",p,FALSE,FALSE,FALSE,FALSE,perfective,instead of boolean,,TRUE,TRUE,FALSE,FALSE
3bed0b4348c2c87052e51618fb8cbd5afa58e2db,[PATCH 0215/3401] Refactored TakeUntil to use TakeWhile.--,p,FALSE,TRUE,TRUE,FALSE,,,,,,,
3e26fa32b15dfa1e16bddaae6b874a744358de75,[PATCH 1834/3401] Removed window between the two synchronized blocks.--,p,FALSE,FALSE,FALSE,TRUE,adaptive,removed,,,,,
3ed9f0f35aa82e04798ff4f35a32207787d78074,[PATCH 0514/3401] Added license header to OperationBuffer.--,p,FALSE,FALSE,FALSE,TRUE,perfective,license,,FALSE,TRUE,FALSE,FALSE
43719c7dfd29922dd45a007923405958aa540f2d,[PATCH 1618/3401] ---,p,FALSE,FALSE,FALSE,FALSE,adaptive,removed code,no syntactic evidence,,,,
45afeb9fb5ce49a9f0e4d931057ebaf6990111ab,[PATCH 1757/3401] Forward subscription of wrapped subscriber--,p,FALSE,FALSE,FALSE,FALSE,adaptive,subsribxtion,,,,,
493e8ad45f39306754484ada51bfe397928404fd,[PATCH 0725/3401] additions to tests--,p,FALSE,FALSE,FALSE,FALSE,adaptive,added test,different protocol,,,,
4a9f2fb05a3163e11ed35d85a33a6b8e216dde77,[PATCH 0307/3401] TakeWhile protect calls to predicate--,c,FALSE,FALSE,FALSE,FALSE,,,,,,,
4b4d4fe741e9396560b186427a15faf803d423de,[PATCH 0060/3401] subscribe methods with typed Action arguments--,p,FALSE,FALSE,FALSE,FALSE,adaptive,subsribe,,,,,
52bd53f5ea5eec84818d65b40e81d0a82ada6ba8,[PATCH 0002/3401] Restructure into smaller files--,p,FALSE,FALSE,FALSE,FALSE,perfective,restructure,,TRUE,TRUE,FALSE,FALSE
