repo_name,commit,message,Justification,Comment,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective
Hui-Zhi/kubernetes,fecccbd4659b62daa203a445940667e6b31b0a24,"Merge pull request #44414 from mwielgus/disrup-fix

Automatic merge from submit-queue (batch tested with PRs 44414, 44318)

Cluster autoscaler broken nodes E2E test fix

cc: b051cd29e22c970a41e9bdbabcef3b43b04beef1@fgrzadkowski",fix,,,,,TRUE
GNOME/mutter,73acbdd30c3d368cae687642fae42425ce855040,"keybindings: Fix ungrabs possibly failing after switching keymaps

We need to resolve the keycode from the keysym again since the keycode
might have changed if there was a keymap switch between the grab and
the ungrab.
",fix,,,,,TRUE
logan-reynolds/moodle,0cbcc8efc11782858aa2e88ee70213d7c9016d3f,"user_login() was not converted to using get_cache_flags().

It was still using the 'old' get_config() interface, so the 'cookie'
set by ntlmsso_finish() wasn't retrieved at all, and the automatic
login always failed.

Signed-off-by: Iñaki Arenaza <c5142267102fc726eb9281895a32d606f8c60042@eteo.mondragon.edu>


Author: Iñaki Arenaza <c5142267102fc726eb9281895a32d606f8c60042@eteo.mondragon.edu>
Committer: Martin Langhoff <54669547a225ff20cba8b75a4adca540eef25858@catalyst.net.nz>
",failed,,,,,TRUE
tensorflow/tensorflow,179cc37f4212b403517d44053814dcb4570508b8,"Throw a more informative error message when checkpointing an input pipeline
containing a ShuffleDataset with reshuffle_each_iteration=True.
This is a temporary fix till we figure out how to handle this use-case.

PiperOrigin-RevId: 198805344
",fix,,,,,TRUE
alekitto/symfony,6f3c6b49e26dc25ede47f52b0ac447737c5608cc,"minor #14036 [SecurityBundle] Fix typos in LogoutUrlHelper (stloyd)

This PR was merged into the 2.7 branch.

Discussion
----------

[SecurityBundle] Fix typos in LogoutUrlHelper

| Q             | A
| ------------- | ---
| Bug fix?      | yes
| New feature?  | no
| Tests pass?   | yes
| Fixed tickets | #14035
| License       | MIT

Commits
-------

156cda6 [SecurityBundle] Fix typos in LogoutUrlHelper
",type,avoid fixed tickets,,,,FALSE
dgud/otp,9adc5cb879b1e939711a83fa7db3928310fbec06,"Support local sockets with inet:i/0

Before:

1> gen_udp:open(0, [local, {ip, {local, ""unixdomainfile""}}]).
{ok,#Port<0.6>}
2> inet:i().
** exception error: bad argument
     in function  integer_to_list/1
        called as integer_to_list(<<""unixdomainfile"">>)
     in call from inet:fmt_port/2 (inet.erl, line 1646)
     in call from inet:fmt_addr/2 (inet.erl, line 1642)
     in call from inet:'-i_line/3-lc$^0/1-0-'/3 (inet.erl, line 1547)
     in call from inet:'-i_line/3-lc$^0/1-0-'/3 (inet.erl, line 1547)
     in call from inet:'-info_lines/3-lc$^0/1-0-'/3 (inet.erl, line 1546)
     in call from inet:ii/3 (inet.erl, line 1531)
     in call from inet:i/0 (inet.erl, line 1515)

After:

Port Module    Recv Sent Owner      Local Address           Foreign Address State Type
4160 local_udp 0    0    <0.1747.0> local:unixdomainfile    *:*             IDLE  DGRAM
",error,,,,,TRUE
zmwangx/homebrew-core,dabc62882068c11b0dafeaaa3fb2be3e1263d669,"Revert ""vim: add 7.4.884 bottle.""

This reverts commit 98b7a22d81cefba49dbf3dd03b76871e4ebdbe4e.

We don't bottle Vim for now as it enforces the installation of Homebrew's Python
which isn't a light dependency.
",revert,,,,,TRUE
quinton-hoole/kubernetes,6e6c5375d28c9698b2ce366d03460cfb9e087084,"Changed config-default.sh: deleting the DenyEscalatingExec option from ADMISSION_CONTROL, so kube-apiserver can start correctly.
Changed util.sh: provision-* functions so every flannel interface is created after starting the etcd service and reconfDocker.sh with the ""i"" option is launched after every flannel interface is up and running.
",correctly,,,,,TRUE
fredericd/Koha,73bc117b057bd5ea73c4075d586b644b0cafe00b,"Bug 22597: Remove ""more_subfields_xml"" from GetPatronInfo response

Test plan
1/ Set an item with some xml data in more_subfields_xml
2/ Issue this item to a borrower
3/ Query the webservice with GetPatronInfo methods and show_loans=1 params
4/ Check no <more_subfields_xml> tags are returned in the xml response from the webservice

Signed-off-by: Katrin Fischer <katrin.fischer.83@web.de>

Signed-off-by: Marcel de Rooy <m.de.rooy@rijksmuseum.nl>

Signed-off-by: Nick Clemens <75ef9faee755c70589550b513ad881e5a603182c@bywatersolutions.com>
",bug,uncertain,,,,TRUE
ChromeDevTools/devtools-frontend,fb9cd740865cef56da5158e8bc14ec5df9498200,"DevTools: Expose more properties through the accessibility protocol

This adds the new properties:
	invisible
	editable
	focusable
	focused
	settable

Bug: 887173
Change-Id: Iaa9dc346d10648ada9d16c6a3568f83fdd83f397
Reviewed-on: https://chromium-review.googlesource.com/c/1244548
Reviewed-by: Dmitry Gozman <0ca14b32cbb359a30ac562af27dd84cc2813eacb@chromium.org>
Reviewed-by: Alice Boxhall <c1bed8e3d5a88e6d2294d23be052e016159aceda@chromium.org>
Commit-Queue: Joel Einbinder <bab755abe9fee48fe544272e55f73517d4e4a725@chromium.org>
Cr-Original-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#599769}
Cr-Mirrored-From: https://chromium.googlesource.com/chromium/src
Cr-Mirrored-Commit: bb9bf77321148fd2650fa4743375953786ae706d",bug: ddd,uncertain,,,,uncertain
