repo_name,commit,message,Is_Security,Justification,Certain,Comment,Sampling
activescaffold/active_scaffold,ccf10dcee06beae80147d0bc4cc1971239c67343,"I dug a bit, and found a much cleaner way to address the issue with undefined security methods.
",TRUE,security,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
Sage-Bionetworks/SynapseWebClient,a0f9faef5f07fc885a3f5dcd43140a1e98dc24c7,"in progress (expose last updated on)
",FALSE,expose,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
spring-projects/spring-framework,d6635802c4fb9048aacece1e09734ac6626f475f,"TypeDescriptor's nested type traversal leniently returns null in case of unresolvable nested type

Issue: SPR-11898
",FALSE,trversal,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
rpm-software-management/dnf,311004df75e9ff64a1f9857f7606ca06938c5f52,"api: expose RepoDict.get_matching() and RepoDict.all() (RhBug:1071323)

Renames get_multiple() to get_matching() and changes the KeyError handling to
be more similar to what the builtin dict.get().

Drops property on all(), dict.values() isn't a property either.
",FALSE,expose,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
tprrt/linux-stable,9815d3288ed0540efc5f261ea1736f4327c4c9b5,"PCI: mobiveil: Update the resource list traversal function

Code that executes the resource list traversal does not need to
delete any node therefore using the *_safe() API version is
useless.

Replace function resource_list_for_each_entry_safe() with the
resource_list_for_each_entry() counterpart.

Signed-off-by: Hou Zhiqiang <6c0c8902386def638715cb5c29c831cf16ec8aa4@nxp.com>
Signed-off-by: Lorenzo Pieralisi <b07d7e22a002c36e256b78f51f1f0db608e62a13@arm.com>
Reviewed-by: Minghuan Lian <edc9fd01d7be6da9c99ad8f260a21609cbf862d0@nxp.com>
Reviewed-by: Subrahmanya Lingappa <90ca29fbd03e49c341b889ad4bc03d9dfa4c159e@mobiveil.co.in>
",FALSE,traversal,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
kevmaitland/PoshAnt,b482e61f56f34c4c6bfbfffe6bfa39110239f2ed,"Password Expiry for 365
",TRUE,passwords,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
squid-cache/squid,bdda8114c3075fe6e58fd9fe57a404bfe69d8dd2,"Bug #2072: digest_pw_auth fails when using plaintext passwords

digest_pw_auth may crash or otherwise fail when using plaintext passwords.

Workaround (and more secure): Store Digest H(A1) hashed passwords instead.
",TRUE,passwords,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
nwjs/chromium.src,9694a4c5ea2289ac47eff8bf9c6d85ac409d674c,"Get rid of has_major_certificate_errors

This field is used to downgrade the browser security UI when a page loads a
subresource over a connection with certificate errors. It was needed because we
used to only populate cert_status conditionally when devtools is open. Now we
populate cert_status unconditionally, so this field is redundant.

Bug: 791047
Cq-Include-Trybots: master.tryserver.chromium.linux:linux_mojo
Change-Id: Ib49bd1642801c401cd16a152009f87dccb905c3e
Reviewed-on: https://chromium-review.googlesource.com/817854
Reviewed-by: John Abd-El-Malek <da3dd5c2657fecad769c041097dbd8ecd725687d@chromium.org>
Commit-Queue: Emily Stark <351cd4dcb8ca60b28d6406fe7f489a1eda3af330@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#522957}",FALSE,certificate,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
GNOME/epiphany,6fb6efa2850bda26532bd1318648fdf61436a804,"Make the statusbar's GtkTooltips publicly accessibly.

2004-05-01  Christian Persch  <chpe@cvs.gnome.org>

	* src/ephy-statusbar.c: (ephy_statusbar_init),
	(ephy_statusbar_finalize), (ephy_statusbar_set_security_state):
	* src/ephy-statusbar.h:

	Make the statusbar's GtkTooltips publicly accessibly.
",TRUE,security,FALSE,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
tprrt/linux-stable,ab362fffa0feb0da23191111e60b641d39130053,"iommu/arm-smmu: Restore naming of driver parameter prefix

Extending the Arm SMMU driver to allow for modular builds changed
KBUILD_MODNAME to be ""arm_smmu_mod"" so that a single module could be
built from the multiple existing object files without the need to rename
any source files.

This inadvertently changed the name of the driver parameters, which may
lead to runtime issues if bootloaders are relying on the old names for
correctness (e.g. ""arm-smmu.disable_bypass=0"").

Although MODULE_PARAM_PREFIX can be overridden to restore the old naming
for builtin parameters, only the new name is matched by modprobe and so
loading the driver as a module would cause parameters specified on the
kernel command line to be ignored. Instead, rename ""arm_smmu_mod"" to
""arm_smmu"". Whilst it's a bit of a bodge, this allows us to create a
single module without renaming any files and makes use of the fact that
underscores and hyphens can be used interchangeably in parameter names.

Cc: Robin Murphy <4f9c5a5cfa819e47d69719a414c02aa6016a9f54@arm.com>
Cc: Russell King <ba324ca7b1c77fc20bb970d5aff6eea9377918a5@armlinux.org.uk>
Reported-by: Li Yang <34dfad48c677943636bcfca4c66019ccf94adacd@nxp.com>
Fixes: cd221bd24ff5 (""iommu/arm-smmu: Allow building as a module"")
Signed-off-by: Will Deacon <37d41699bdee4fcb969ca499eb0f8b82c60d59cc@kernel.org>
Reviewed-by: Robin Murphy <4f9c5a5cfa819e47d69719a414c02aa6016a9f54@arm.com>
Signed-off-by: Joerg Roedel <61aff96566804ea1da8a65de5bcc892ce07caceb@suse.de>
",FALSE,,FALSE,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
