repo_name,commit,message,Is_abstraction,Justification,Certain,Comment,Sampling
jenkinsci/jenkins,3e8750699e08ec770976e8701a787bcab962bf8e,"tweaking the abstraction a bit so that this can be used not just with Build but all the other Actionable objects


git-svn-id: 28f34f9aa52bc55a5ddd5be9e183c5cccadc6ee4@7729 71c3de6d-444a-0410-be80-ed276b4c234a
",TRUE,abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
Accruent/zoomba,57a2309f4cb15ceee3f8c6468961b32544d7d8cc,"Maintenance/date suds (#16)

* Suds object fix,
Date Comparator abstraction with additional error handling

* Suds object fix,
Date Comparator abstraction with additional error handling

* Expanding Date Comparator Function kwargs

* Adding kwargs to other key_by_key validator calls

* fixed doc_string indentation
",TRUE,abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
researchstudio-sat/webofneeds,0d74fa530c48c96b4ebf8b57949f333794e16959,"Abstraction and type integration

abstracted classes
implemented Long and Date intervals
commented code
wrote new test cases

there is a BUG! if you have an interval 15-25 and you look for 17-20, it will not be found
",TRUE,"abstraction, abstracted classes",,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
nwjs/chromium.src,a9f68e673fccdf7948729413523dff9b577d660a,"Switch rendering tree selection code to to new layout types
https://bugs.webkit.org/show_bug.cgi?id=63762

Reviewed by Eric Seidel.

Switch selection getters and selection gap calculation methods over to
new layout abstraction.

No new tests, no functionality changes.

* rendering/InlineTextBox.cpp:
(WebCore::InlineTextBox::selectionTop):
(WebCore::InlineTextBox::selectionBottom):
(WebCore::InlineTextBox::selectionHeight):
(WebCore::InlineTextBox::isSelected):
* rendering/InlineTextBox.h:
* rendering/RenderBR.h:
(WebCore::RenderBR::selectionRectForRepaint):
* rendering/RenderBlock.cpp:
(WebCore::RenderBlock::selectionGapRectsForRepaint):
(WebCore::RenderBlock::selectionGaps):
(WebCore::RenderBlock::inlineSelectionGaps):
(WebCore::RenderBlock::blockSelectionGaps):
(WebCore::RenderBlock::blockSelectionGap):
(WebCore::RenderBlock::logicalLeftSelectionGap):
(WebCore::RenderBlock::logicalRightSelectionGap):
(WebCore::RenderBlock::logicalLeftSelectionOffset):
(WebCore::RenderBlock::logicalRightSelectionOffset):
(WebCore::RenderBlock::positionForPointWithInlineChildren):
(WebCore::RenderBlock::desiredColumnWidth):
* rendering/RenderBlock.h:
(WebCore::RenderBlock::selectionRectForRepaint):
* rendering/RenderListMarker.cpp:
(WebCore::RenderListMarker::selectionRectForRepaint):
* rendering/RenderListMarker.h:
* rendering/RenderObject.h:
(WebCore::RenderObject::selectionRect):
(WebCore::RenderObject::selectionRectForRepaint):
* rendering/RenderReplaced.cpp:
(WebCore::RenderReplaced::selectionRectForRepaint):
* rendering/RenderReplaced.h:
* rendering/RenderSelectionInfo.h:
(WebCore::RenderSelectionInfo::RenderSelectionInfo):
* rendering/RenderText.cpp:
(WebCore::RenderText::selectionRectForRepaint):
* rendering/RenderText.h:
* rendering/RootInlineBox.cpp:
(WebCore::RootInlineBox::selectionTop):
(WebCore::RootInlineBox::selectionBottom):
* rendering/RootInlineBox.h:
(WebCore::RootInlineBox::selectionHeight):


git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@90596 bbb929c8-8fbe-4397-9dbb-9b2b20218538",TRUE,layout abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
gengo/grpc-gateway,b56786c168e3c7bc187a5eaefc9d2827c0551234,"Merge pull request #78 from gengo/fix/golint

Add abstraction of code generator implementation",TRUE,add abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
apollostack/apollo-client,894cb045383591faaa541dde02b39a7d40e20a4a,"Update optimism dependency to 0.8.3. (#4596)

* Update apollo-cache-inmemory to use optimism@0.8.3.

This upgrade allows us to drop the transitive dependency on the
immutable-tuple package, while also replacing the CacheKeyNode abstraction
with optimism's equivalent KeyTrie class.

* Reduce bundle size limit for apollo-cache-inmemory.
",TRUE,replacing the CacheKeyNode abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
Aptoide/aptoide-client-v8,0774c941c472f3687278e07b1cb8e0203d0328e9,"removed the ApplicationPreferences abstraction since it was un desired by the team software architect
",TRUE,abstracion,,Subtle negative sentiment?,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
GNOME/gnome-builder,ba9fc9d0d7127e71934c1e907bbe355fa3cf9df8,"libide: add basic IdeFileSettings abstraction

This will allow us to have various file settings backends, such as
editorconfig, modelines, or gsettings.
",TRUE,add abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
apollographql/apollo-client,882624826a30cd51d90b023a3a7c6548b0c82b0f,"Move QueryInfo class into its own module.

It may seem like we're back to where we started with the separate
QueryStore class, but what we've actually done is consolidated a lot of
important logic into the existing QueryInfo abstraction.
",TRUE,existing abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
silverstripe/silverstripe-cms,2bd9d00da0187558b7c76cd0bdc9d9664c140572,"API Remove filesystem sync
API support new asset abstraction
BUG Fix file link tracking for new asset abstraction
",TRUE,support abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
