repo_name,commit,message,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective,Justification,Comment,Certain,Sampling
pymor/dune-gdt,b0c1b7037681ded5b3409fdbb9f18902684e92d9,"[pylicense] add .tpl to config bump copyright year
",FALSE,TRUE,TRUE,FALSE,"add, bump copyright",,,random_batch_18_nov_2020
wso2/carbon-analytics,ddcea4897ac24c0f71469cc5ed4846dcfe23585f,"Added missing iterator
",FALSE,FALSE,FALSE,TRUE,add missing,,,random_batch_18_nov_2020
root-mirror/root,e41c550e9371bc246a66df25edd02fec109d67b0,"win32gdk source files.


git-svn-id: acec3fd5b7ea1eb9e79d6329d318e8118ee2e14f@3309 27541ba8-7e3a-0410-8455-c3a389f83636
",FALSE,FALSE,TRUE,FALSE,,,FALSE,random_batch_18_nov_2020
yuanming-hu/taichi,1bd17f6f1507a07b1a8896511642f72eac19843b,"removed all return values of runtime initialization functions
",,,TRUE,,removed,,,random_batch_18_nov_2020
otwcode/otwarchive,f96a19672775cc67940c99e5a0a3043b97a1ee29,"Merge pull request #988 from tuff-ghost/issue_3380

3380 & 2928: rewrite ibox (modal dialogs) plugin",TRUE,TRUE,,,rewrite,,,random_batch_18_nov_2020
onfido/onfido-sdk-ui,faf36e397d15a7ebe69f430b2187e315cbbf373d,"Merge pull request #818 from onfido/feature/fix-readme-indentation-cx-4204

Fix readme indentation for callbacks",,TRUE,,,fix readme,,,random_batch_18_nov_2020
Microsoft/msbuild,202f2203d5c50ba9f54a3980bc37d939f073e680,"Merge pull request #493 from cdmihai/cdmihai-table-build-status

Show build status in a table",,,TRUE,,show,,,random_batch_18_nov_2020
spinnaker/clouddriver,38b0d8dfe31be0ee0c29ff8b1ad8f565e8534cd4,"[Gradle Release Plugin] - new version commit:  '0.9-SNAPSHOT'.
",,TRUE,,,new version,,FALSE,random_batch_18_nov_2020
maxcom/lorsource,31a010ba3969eb6781873d222fce3ba4683c8dc9,"Merge branch 'master' of github.com:/maxcom/lorsource
",FALSE,FALSE,TRUE,FALSE,,,FALSE,random_batch_18_nov_2020
wordpress-mobile/WordPress-iOS,1e356eb744214a72c1b1422f7f4ddd825aa04d09,"Post Settings: Style featured image cell.
",FALSE,FALSE,TRUE,FALSE,style image,,,random_batch_18_nov_2020
WhisperSystems/Signal-iOS,48a85aab1bd1765523ea3798de5e75141bf8bb15,"remove unused files

These were ported to SignalMessaging
",TRUE,TRUE,FALSE,FALSE,remove unused,,,random_batch_18_nov_2020
flamingo-geocms/flamingo,1fa57143e2c650ee6ee86e01b3b005fdfcfbc25f,"Merge branch 'master' of github.com:flamingo-mc/flamingo
",FALSE,TRUE,FALSE,FALSE,,just merge,FALSE,random_batch_18_nov_2020
facebook/watchman,b4e93442fa87b9a089edc71f77b23f0e74a22efc,"Thrift interface for setting memory limit of Journal

Summary: Sets up a thrift interface to set the size of the journal (until truncation is added in the size field in the journal currently does nothing other than being viewable from getMemoryLimit)

Reviewed By: chadaustin

Differential Revision: D16042286

fbshipit-source-id: bc0acdf4ac5516cfac66fa0fbd87254d08ad479b
",,FALSE,TRUE,,,,,random_batch_18_nov_2020
vanilla/vanilla,d72e24a8e6ded0a1bc0d8360bd93b16cc4e4d05f,"Rebuild JS
",FALSE,FALSE,TRUE,FALSE,,rebuild,,random_batch_18_nov_2020
git-cola/git-cola,c6b9183174e6ddc522499716bc8e6d56e3b9b7b3,"travis-build: add --default option for changing the default response

Signed-off-by: David Aguilar <9de348c050f7cd1ca590883733c4e531ce610bf4@gmail.com>
",FALSE,FALSE,TRUE,FALSE,add,,,random_batch_18_nov_2020
Citadel-Station-13/Citadel-Station-13,c545ef06cdf7c4fea3619fd9a0c814fdc5d05b1e,Update nuclearbomb.dm,FALSE,TRUE,FALSE,FALSE,*.md,,,random_batch_18_nov_2020
RoboJackets/robocup-software,787d05616dff3cc3cf26b15047957fa3d6d9666e,"switched to new config
",FALSE,,TRUE,FALSE,switched,,,random_batch_18_nov_2020
