repo_name,commit,message,Is_Typo,Justification,Certain,Comment,Sampling
stcorp/harp,f3499cc56df373c5512e8e66cd4c2ebce124b3ce,"Improve ECMWF GRIB ingestion

Add support for parameters t (temperature) and q (specific humidity)

Add ingestion option to ignore the time of the geopotential
(since it is 'static' dataset it may have been included for a different date)

Add ingestion option to ignore duplicate message (which means multiple occurence of the same quantity at the same level)
This is useful for reading datasets that are a concatenation of different grib files where each grib file had the same lnsp parameter.
",TRUE,occurence,,,19_sep_2021_hit_4014893c710d5a0eb42eff1b8c4aeac3884a6f79
tprrt/linux-stable,aa343c695aa59f03f31a2f989b8c977a727e46e3,"scsi: ibmvscsi: fix tripping of blk_mq_run_hw_queue WARN_ON

After a successful SRP login response we call scsi_unblock_requests() to
kick any pending IOs. The callback to process this SRP response happens in
a tasklet and therefore is in softirq context. The result of such is that
when blk-mq is enabled, it is no longer safe to call scsi_unblock_requests()
from this context. The result of duing so triggers the following WARN_ON
splat in dmesg after a host reset or CRQ reenablement.

WARNING: CPU: 0 PID: 0 at block/blk-mq.c:1375 __blk_mq_run_hw_queue+0x120/0x180
Modules linked in:
CPU: 0 PID: 0 Comm: swapper/0 Not tainted 5.0.0-rc8 #4
NIP [c0000000009771e0] __blk_mq_run_hw_queue+0x120/0x180
LR [c000000000977484] __blk_mq_delay_run_hw_queue+0x244/0x250
Call Trace:

__blk_mq_delay_run_hw_queue+0x244/0x250
blk_mq_run_hw_queue+0x8c/0x1c0
blk_mq_run_hw_queues+0x60/0x90
scsi_run_queue+0x1e4/0x3b0
scsi_run_host_queues+0x48/0x80
login_rsp+0xb0/0x100
ibmvscsi_handle_crq+0x30c/0x3e0
ibmvscsi_task+0x54/0xe0
tasklet_action_common.isra.3+0xc4/0x1a0
__do_softirq+0x174/0x3f4
irq_exit+0xf0/0x120
__do_irq+0xb0/0x210
call_do_irq+0x14/0x24
do_IRQ+0x9c/0x130
hardware_interrupt_common+0x14c/0x150

This patch fixes the issue by introducing a new host action for unblocking
the scsi requests in our seperate work thread.

Signed-off-by: Tyrel Datwyler <f4a317f2a73d762775eb462a22d913f1ae21c433@linux.ibm.com>
Signed-off-by: Martin K. Petersen <0384aaef27f06874adbdb09a807bb339f4aff9fd@oracle.com>
",TRUE,seperate,,,19_sep_2021_hit_4014893c710d5a0eb42eff1b8c4aeac3884a6f79
savoirfairelinux/ring-daemon,d2746ead2972b7bad69772aeb11e8d9ea8c28609,"build: fix error in configure.ac

without-dbus condition was broken due to
mingw test

Regression caused by change 1852, commited in
78a32ceed062851cf56a93f1d50cbb2b8c0eb2be

Refs #70869

Change-Id: I8522c9a47f39a07f1830f0542566f1057cf967cc
",TRUE,commited,,,19_sep_2021_hit_4014893c710d5a0eb42eff1b8c4aeac3884a6f79
tprrt/linux-stable,ece9c4ee5e590f96d7221c746126eaafac15a60c,"iwlagn: detect PAN capability

Detect whether or not the ucode is PAN
capable and adjust the valid contexts
accordingly. To be able to do this, add
the PAN context to the array as well.

Signed-off-by: Johannes Berg <bff32994ff0f8d048f262a8388145a71b6071bfe@intel.com>
Signed-off-by: Wey-Yi Guy <15ba08e2ad0b84ec2e6b8e47b27706f8a8e5edd0@intel.com>
",FALSE,whether,,,19_sep_2021_hit_4014893c710d5a0eb42eff1b8c4aeac3884a6f79
zephyrproject-rtos/zephyr,35fc0bea4603b599f01e14a5b49e05f56715f4bc,"samples: drivers: soc_flash_nrf: add test harness

Added harness config to sample in order for the sanitycheck tool
to run and understand whether the samples output is as expected.

Signed-off-by: Łukasz Hejnak <75bb00e656752f002de3dcbceef5a58ac8a18964@nordicsemi.no>
",FALSE,whether,,,19_sep_2021_hit_4014893c710d5a0eb42eff1b8c4aeac3884a6f79
SAP/openui5,7ae68781ae006604d1a00ceefa7c08dd037473dd,"[INTERNAL] sap.ui.documentation: Apply same excludes in .library and pom.xml

While the Maven based tooling applies excludes defined in either pom.xml
or .library files, UI5 Tooling only uses those defined in .library files.

In an effort to replace the Maven based tooling with UI5 Tooling, the
same excludes must be used.

For the Maven based tooling however, it might make sense to define
excludes in the pom.xml. Compared to .libary excludes, they are applied
earlier and prevent the Maven based tooling from analyzing the excluded
files. This can be necessary for cases where new JavaScript syntax is
used or other problems with the (legacy) Maven build tooling occur.

In order to keep the current setup working but to also apply the same
excludes for UI5 Tooling, they shall be defined in both places, pom.xml
and .library.

A separate change in sapui5.runtime has been crated to add a comment
to the pom.xml, indicating that the excludes need to be kept in sync:
I1e131e898a9c32ebdf618664770b17d564830153

JIRA: CPOUI5FOUNDATION-232
Change-Id: Ic8b1720841860ec7618fbe371d2116243c138702
",TRUE,libary,,,19_sep_2021_hit_08d6b8e395fb22d144309de17162e414fa13f4da
nexAkari/DarkPlacesRM,d6b1ea1bb2a2a1641bf5bf492420ea714021bf58,"made coronas small and intense, much more noticable now


git-svn-id: 95f5f7c9af795abc11aca911b844697b26de5baa@1475 d7cf8633-e32d-0410-b094-e92efae38249
",TRUE,noticable,,,19_sep_2021_hit_08d6b8e395fb22d144309de17162e414fa13f4da
mapnik/mapnik,31ae5e632b5243357ac5a3a46aa8aabaa205c8f4,"rollback accidentally commited change in 126d1b73d6c533 - not quite yet
",TRUE,commited,,,19_sep_2021_hit_08d6b8e395fb22d144309de17162e414fa13f4da
salesagility/SuiteCRM,4d87755404cedfeb6fb3ce210a2dcd3afc132421,"Moving button logic into seperate extendable jquery plugins
",TRUE,seperate,,,19_sep_2021_hit_08d6b8e395fb22d144309de17162e414fa13f4da
geobretagne/mviewer,0f9a0f0add02aa440a19230fda0b8aef5a63a762,"Update README with new enhancements - elasticsearch, search parameters and adress geocode service
",TRUE,adress,,,19_sep_2021_hit_08d6b8e395fb22d144309de17162e414fa13f4da
