repo_name,commit,subject,message,Is_Corrective,justification,comment,certain
edx/luigi,07775235c204fdafbc43401751f44d528823c439,Convert dates to datetimes for DateHourParameter (#2285),"Convert dates to datetimes for DateHourParameter (#2285)

",1,,,
edx/luigi,1fbec18ceb7c5de352e6d1df12960c61f09e67c2, Fix MRO on tasks using util.requires (#2307)," Fix MRO on tasks using util.requires (#2307)

* Add a util test to check if requires has effect on MRO (#2054)

* Add same util tests from requires for inherits decorator

* Document luigi.util.inherits decorator

* For inherits and requires decorator do monkey patching (#2054)

Instead of subclassing the task monkey patch the methods clone_parent
and requires, to avoid a MRO with the task having itself as parent
class.

Fixes #2054
",1,,,
edx/luigi,6dfe9af9a7ce6dda364ef8db0e6cd0b3572c33d6,Use default (3) number of attempts for get_work rpc method.,"Use default (3) number of attempts for get_work rpc method.

Just one attempt result in many intermediate failures.

I can't see a reason why get_work would have different retry behaviour.
",1,,,
edx/luigi,daf9ce99a3a7ed4227d1564570c5fce8848357e5,[bug-fix] scheduler won't override running status incorrectly (#2187),"[bug-fix] scheduler won't override running status incorrectly (#2187)

Issue discussed here: https://groups.google.com/forum/#!searchin/luigi-user/stefano|sort:relevance/luigi-user/WCiQfNEfWY4/5zGdX5X6BgAJ
",1,,,
edx/luigi,876fe69d560571ceb0bef9c0b8d2fcc8c4bb60ce,Clear tasks on disabled workers (#2208),"Clear tasks on disabled workers (#2208)

After a worker is marked disabled, it will call get_work or
count_pending one last time before stopping. This call can fail on
count_pending when it has a unique task, as that task will now have no
workers but we try to look up the workers from each task.

To guarantee a more consistent state, we now clear the task list from
each worker on disable.",1,,,
edx/luigi,e12ea80cb9686507f1773fcc6e0d74f669580b6b,Fix emailing of unexpected error in `Worker._announce_scheduling_failure`. (#2191),"Fix emailing of unexpected error in `Worker._announce_scheduling_failure`. (#2191)

",1,,,
edx/luigi,ce881b2a95743887c6147ff4ba23ce5f622b3f5e,Fix ListParameter Hashability (#2227),"Fix ListParameter Hashability (#2227)

* Ensure lists of dictionaries can serialized and parsed as ListParameters

* Add test for hashability of list of dictionaries ListParameter

* Add support for tuples of dictionaries

* Add test for tuple of dictionaries serialization

* Add test for nested lists and tuples

* Update TupleParameter to inherit from ListParameter
",1,,,
edx/luigi,62b6aa85375fdb150f8da0da14b834d5d2c628e6,Update retcodes to handle new cases (#1771),"Update retcodes to handle new cases (#1771)

This commits adds these features:

 * unknown_reason is changed to not_run and covers more cases. Now documented in detail
 * Reaching task-limit counts as scheduling_error
 * Return code 0 strictly corresponds to success (when so configured)
 * Updated error messages/documentation

This commit fixes #1660",1,,,
edx/luigi,b3e9ad57f8502a390686957b69070105fddcfd49,Caches get_autoconfig_client on a per-thread basis,"Caches get_autoconfig_client on a per-thread basis

If too many different autoconfig clients are open at the same time, it can
create too many open files for the operating system to handle. To avoid
this issue, we can simply cache the autoconfig client to ensure that the
same one is being used every time. However, the autoconfig client is not
thread safe so we must have a different one for each thread.

This resolves #1740
",1,,,
edx/luigi,e124e75e6d54fbb1f86e7432d46ba5519a32605d,Ensure DictParameter's are normalized to FrozenOrderedDict (#1708),"Ensure DictParameter's are normalized to FrozenOrderedDict (#1708)

There was an outstanding bug. In particular DictParameters initialized with normal ""non-frozen"" dicts would make the execution summary crash.",1,,,
edx/luigi,e38392a1381dd8daee0f180f0ac7f651edb88e0c,Merge pull request #1497 from riga/fixLocalSchedTaskHist,"Merge pull request #1497 from riga/fixLocalSchedTaskHist

Disable task history for local scheduler.",1,,,
edx/luigi,dd37d973cfef2a1f93aad816c17a6e834705eb46,execution summary: Don't crash on uncomparables,"execution summary: Don't crash on uncomparables

This has become increasingly important since spotify/luigi#1479 where
EnumParameters have been introduced (which are normally not sortable)
",1,,,
edx/luigi,96f2b5a97c2cc5f63bea0f422c57f93dcec0ebac,bugfix: assistant workers not retrying failed tasks,"bugfix: assistant workers not retrying failed tasks
",1,,,
edx/luigi,acb66db42257801403b5d471eecec91392e316f3,Merge pull request #1453 from TodayTix/hotfix_redshift_table_creation,"Merge pull request #1453 from TodayTix/hotfix_redshift_table_creation

Fixed: Broken Redshift Table Creation",1,,,
edx/luigi,b879c1287fdffebbc2e4770df0ac33fd0d566ce0,Merge pull request #1400 from nizox/fix/task_parameter,"Merge pull request #1400 from nizox/fix/task_parameter

Add a serialize method to TaskParameter",1,,,
edx/luigi,736c0f1352463c20ece84f2f651bcd37fd2b88ae,assistants bugfix: Also prune UNKNOWN tasks,"assistants bugfix: Also prune UNKNOWN tasks

I'll only motivate this lightly as I assume the previous mistake was a
(serious) oversight.  This bug is a bit hard to realize, because when
you visit the scheduler in the browser the UNKNOWN tasks are not shown
so you don't see them accumulating.  You only notice that the page loads
slower for each day.

In our scheduler instance, there are currently 90% UNKNOWN tasks, most
of which would be pruned after this patch is applied. 90% because its
current uptime is 10 days. The 9 previous days have almost exclusively
UNKNOWN tasks meanwhile today has almost exclusively known tasks.
",1,,,
edx/luigi,43f2de2646c8e1efd6e17ffabbb11accc21e70b6,Bugfix: Scheduler crashes for some configs,"Bugfix: Scheduler crashes for some configs

When the 'disable_hard_timeout' is set but 'disable_failures' is not.

The fix is simply to follow the ""good"" coding practice to not allow
IntParameters to have a None-value as default.
",1,,,
edx/luigi,a8e64fe7f83d69702166a44c7e8cb9470ff31040,Fix bug in LocalFileSystem.move (#1643),Fix bug in LocalFileSystem.move (#1643),1,,,
edx/luigi,6cffbf438d023441f7f42c2019a51c62eecd9018,Fixes a bug with auto-reenable when disable_failures is 1,"Fixes a bug with auto-reenable when disable_failures is 1

When disable_failures is 1, there was a bug in which the re-enable would cause
an immediate disable because re-enable is achieved by setting the task to
FAILED. This fixes the bug by not counting a failure toward the number needed
for a disable if the task is disabled.",1,,,
edx/luigi,ea1cad7ef4d30709d1cb255d09db084150057041,Handles missing signal.SIGUSR1 when registering a handler in worker,"Handles missing signal.SIGUSR1 when registering a handler in worker

Windows machines don't have a signal.SIGUSR1. In order to avoid the
problems that come with registering a SIGTERM handler instead, we just
disable the SIGUSR1 handler on Windows machines. This resolves #1360.
",1,,,
edx/luigi,c521d59c5eacf6c19ce3c17a62f73e042fa0556e,Overrides scheduler disable with manual disable by worker,"Overrides scheduler disable with manual disable by worker

When the scheduler disables a task, we then ignore most other status changes
requested by the worker until re-enable. This had a weird result for me recently
when a group of tasks were repeatedly failing and many of them were disabled.
In order to stop the repeated runs, I marked them all as disabled. A few hours
later when the disable period expired for the automatic scheduler disables,
many of the tasks became PENDING again and started running. It took a while
before enough of them were scheduled with the right timing to become permanently
disabled.

To fix this, we now allow the permanent disable requested by the worker to
override the temporary disable triggered within the scheduler. Note that this
was the original behavior but it wasn't enforced in unit tests and got lost in a
refactor.",1,,,
edx/luigi,8874b93165953c4f6bbe7b747804654d13290018,Update check for table existence to be case insensitive (#2086),"Update check for table existence to be case insensitive (#2086)

",1,,,
edx/luigi,447489aa7f2733bb0a5a701ef46b0bec065543b3,Recursively normalize DictParameter (#2115),"Recursively normalize DictParameter (#2115)

This could be the cause of #2094 as well.",1,,,
edx/luigi,c87e32b0a152fc66d89c2ce82440c830d0a9ce70,Handle e-mail failures in batch notifier (#2177),"Handle e-mail failures in batch notifier (#2177)

As there's not much we can do about not sending e-mails, we just ignore
the error. In order to prevent constant e-mail processing, we also
clear all the e-mails from the queue and reset the time period for the
next send.",1,,,
edx/luigi,b7115974c3deadf77113686248b39567cb67e38f,retcodes: Understand succesful retries (#1951),"retcodes: Understand succesful retries (#1951)

Prior to this commit, the return codes from luigi didn't honor the case when a task once failed but then succeeded again in a following retry. This will both make the execution summary and return code correct. This fixes #1932.",1,,,
edx/luigi,06a75395bd670dc2a582757e98dc3298d12a2db5,Fix serialization for TimeDeltaParameter (#1968),"Fix serialization for TimeDeltaParameter (#1968)

Also allow 0 time timedeltas",1,,,
edx/luigi,f7e0b7710fd8b12f27625b1efb62a8fde6e206c4,externalize: Dont register the copied tasks (#1975),"externalize: Dont register the copied tasks (#1975)

This fixes an implementation detail, so that luigi.task.externalize
actually does what it says it does in the documentation.  Hence I
hope pretty uncontroversial. This makes it so that calling externalize
don't register a new task. A pretty serious bug.

Now, there's still a caveat, as we're mostly hiding that we do side
affects, if anyone would actually inherit from what is returned by
externalize.  That subtask wouldn't be registered either.

This code is quite easy to get wrong somewhere. Luckily luigi is
decently tested. To make me even more confident I also added a couple of
tests:

 * Two tests in task_test.py that didn't pass before.
 * I created the task_register_test.py file.
 * I added some util tests too, because they are also all about
   Copying classes and namespace clashes. And I want to be on the safe
   side.",1,,,
edx/luigi,c0c4d5ceb68390580119292939238cdfd9522674,bugfix: worker dies on smtp connection errors (#1821),"bugfix: worker dies on smtp connection errors (#1821)

Catch socket.error exception when trying to connect smtp server in error email notification.",1,,,
edx/luigi,70d8734d60e168389f425082b41b1936d63c028e,Prevents batch tasks from running before their dependencies (#1846),"Prevents batch tasks from running before their dependencies (#1846)

When adding tasks to an existing batch in get_work, we neglected to check
whether the tasks were schedulable. This meant that in production I found
my pipelines running batches that included jobs with PENDING dependencies.
In order to fix this, we simply add a check that the task is schedulable.

Note that even though self._schedulable(task) gets called twice in the
get_work loop, they fall under different branches of whether best_task is
defined, so this shouldn't slow get_work down much.",1,,,
edx/luigi,3c55acd2cd5cf9c6c760bec5bb3159e0bc48a614,Filters tasks in second branch of Worker.get_pending_tasks (#1849),"Filters tasks in second branch of Worker.get_pending_tasks (#1849)

When a worker has many DONE tasks, get_pending_tasks may switch to using
state.get_pending_tasks in order to speed up the process. This can include
pending tasks not owned by the worker, invalidating the result and causing
functions like is_trivial_worker to return erroneous results.

To fix this, we simply filter the results of state.get_pending_tasks to
remove any tasks that don't include this worker.",1,,,
rs2/pandas,ba31de37d48f4627de7ac4eba27f73bda5879194,BUG: display.precision of negative complex numbers (#27511),"BUG: display.precision of negative complex numbers (#27511)

",1,,,
rs2/pandas,01babb590cb15ef5c6e9ad890ea580a5112e6999,"BUG: fix+test quantile with empty DataFrame, closes #23925 (#27436)","BUG: fix+test quantile with empty DataFrame, closes #23925 (#27436)

",1,,,
