repo_name,commit,message,Is_Security,Is_Fix,Is_Security_Fix,Justification,Certain,Comment,Sampling
ngageoint/hootenanny-ui,4a71aa6146821d6944e6ff83f8f3e0c46c7526ea,"Use safer field ids in classes, element ids, css selectors

Fixes issue with nested/namespaced fields, such as `maxspeed/advisory`,
in situations where would try to use a css selector or element id.
Can't use characters like '/' in a css selector.
",FALSE,TRUE,FALSE,safer seems not related to security,FALSE,by code,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
nwjs/chromium.src,02b2e2dc078d01b1bd4e273126f02fcf58ade6c8,"Revert ""settings: Disable backspace button on setup pin dialog when nothing entered.""

This reverts commit f66cf13a011713683612732274e0713e16dc1456.

Reason for revert: CrSettingsPeoplePageSetupPinDialogTest.All failures on linux-chromeos-rel

https://uberchromegw.corp.google.com/i/chromium.chromiumos/builders/linux-chromeos-rel

[8877:8877:0108/154615.238105:INFO:CONSOLE(1225)] ""Running TestCase CrSettingsPeoplePageSetupPinDialogTest.All"", source: test_api.js (1225)
[8877:8877:0108/154615.760757:ERROR:CONSOLE(48)] ""Mocha test failed: setup-pin-dialog BackspaceDisabledWhenNothingEntered
AssertionError: expected false to be true
    at Function.assert.isTrue (chai.js:2423:31)
    at assertTrue (test_api.js:853:17)
    at Context.<anonymous> (quick_unlock_authenticate_browsertest_chromeos.js:552:9)
"", source: mocha_adapter.js (48)
[8877:8877:0108/154615.761596:ERROR:web_ui_test_handler.cc(82)] Test Errors: 1/13 tests had failed assertions.
[8877:8877:0108/154615.761615:ERROR:web_ui_browser_test.cc(475)] CONDITION FAILURE: encountered javascript console error(s):
[8877:8877:0108/154615.761620:ERROR:web_ui_browser_test.cc(477)] JS ERROR: '[8877:8877:0108/154615.760757:ERROR:CONSOLE(48)] ""Mocha test failed: setup-pin-dialog BackspaceDisabledWhenNothingEntered
AssertionError: expected false to be true
    at Function.assert.isTrue (chai.js:2423:31)
    at assertTrue (test_api.js:853:17)
    at Context.<anonymous> (quick_unlock_authenticate_browsertest_chromeos.js:552:9)
"", source: mocha_adapter.js (48)
'

Original change's description:
> settings: Disable backspace button on setup pin dialog when nothing entered.
> 
> Test: browser_tests CrSettingsPeoplePageSetupPinDialogTest.*
> Bug: 799388
> Cq-Include-Trybots: master.tryserver.chromium.linux:closure_compilation
> Change-Id: Ia1b5ce69bd13c4e9127b04fcbaf67751a6f86cdc
> Reviewed-on: https://chromium-review.googlesource.com/854742
> Reviewed-by: Steven Bennetts <stevenjb@chromium.org>
> Commit-Queue: Sammie Quon <sammiequon@chromium.org>
> Cr-Commit-Position: refs/heads/master@{#527776}

TBR=stevenjb@chromium.org,sammiequon@chromium.org

Change-Id: I3f62e8657bcc5e2f7dde00104c640508189c7306
No-Presubmit: true
No-Tree-Checks: true
No-Try: true
Bug: 799388
Cq-Include-Trybots: master.tryserver.chromium.linux:closure_compilation
Reviewed-on: https://chromium-review.googlesource.com/855101
Reviewed-by: Mike Wittman <fbd60a97e7ecde2ec06d569706c0fe04e5f306e4@chromium.org>
Commit-Queue: Mike Wittman <fbd60a97e7ecde2ec06d569706c0fe04e5f306e4@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#527822}",FALSE,TRUE,FALSE,"revert, authenticate",FALSE,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
openstack/trove,0805d0a00848fbbb6c719ab484792796c930a33b,"fixing symlink attack bug present in the application.

fixes bug 1233305

Change-Id: I14a94b3b5cb27e8d6c5848c212b3b88053aa8aca
",TRUE,TRUE,TRUE,fix attack,,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
OADA/oada-srvc-docker,9d841b4c2ecbb80355492bd1ef9c4da9cb4ac22d,"Fix IDs for auth arangodb driver
",TRUE,TRUE,TRUE,"fix, auth",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
zurb/foundation-sites,4ee820e98d2d471c6cb6fe76a63b830faa677e56,"Update foundation.abide.js

password input fix",TRUE,TRUE,TRUE,"passwod, fix",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
exponentcms/exponent-cms,ea7d3fd804a4e165d52d9b61fdf2cffaec3ecdf9,"Fixes enter form problem where only those with permissions could enter data
",TRUE,TRUE,TRUE,"fix, permissions",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
tgstation/tgstation,16ee2756026dc01a86b2fb74ffeca5d08eafa631,"CHANGELOG UPDATED

Cult mode update:

Arcane tome now has a ""notes"" option. Set English translations for runewords which come up when scribing runes.
Attack an arcane tome with an arcane tome to copy your notes to the target tome. Totally copied the idea of minecraft maps. No syncing though.

Stun rune buffed considerably. Its a 1-use item so it deserved more power.

Tome text: Added missing description for stun rune.

I failed to implement some interface/additional check shit so you might want to check out commented parts of the code. At least it compiles and doesnt spam runtime errors.
Too frustrated and unskilled to do it on my own. Figuring the way those HTML windows work has been hard enough already.

git-svn-id: af9c09e5e5bfa333f52f6fefeba857070ad34abf@1669 316c924e-a436-60f5-8080-3fe189b3f50e
",FALSE,FALSE,FALSE,"attack, failed",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
skyjam/CoinSpace,e1c4cf7eb76bfe3479300c46c0e1697bd38ff07a,"Add missing ""Back"" link to auth
",TRUE,TRUE,FALSE,"missing, auth",FALSE,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
Screenly/screenly-ose,a0c512d96c7475d587ee30739a3bbadcc377c39a,"Merge pull request #972 from rusko124/snyk_vulnerabilities

Update ansible to 2.7.1",TRUE,FALSE,FALSE,vulnerabilities,,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
GetDKAN/dkan,dbbcdac845627bd25d28c2570a2fcd0fb2e1b898,"Allow change site information info on theme settings page 5648 (#1719)

* Add permission to site manager for access to site information page #CIVIC-5648

* Added site information info to theme settings page and check the fields into behat tests #CIVIC-5648

* Fix error string test feature theme.admin #CIVIC-5648

* Fix error test site information feature theme.admin #CIVIC-5648

* Add inline comments to new site information settings into theme settings page
",TRUE,TRUE,FALSE,"premission, fix",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
