Project,Bug ID,Commit ID,Commit Link,Label 1,Label 2,Final Label,
ansible,1,343ffaa18b63c92e182b16c3ad84b8d81ca4df69,https://github.com/ansible/ansible/commit/343ffaa18b63c92e182b16c3ad84b8d81ca4df69,1,1,1,
ansible,2,f2004874144eab5919eb8617915af0683c3dcd08,https://github.com/ansible/ansible/commit/f2004874144eab5919eb8617915af0683c3dcd08,2,3,,
ansible,3,5b9418c06ca6d51507468124250bb58046886be6,https://github.com/ansible/ansible/commit/5b9418c06ca6d51507468124250bb58046886be6,1,1,1,
ansible,4,9d48884e36fb4fd9551f000b87d264383de74e75,https://github.com/ansible/ansible/commit/9d48884e36fb4fd9551f000b87d264383de74e75,1,1,1,
ansible,5,702949e64c4eec7f40a920ea72a2f47e28ca53b3,https://github.com/ansible/ansible/commit/702949e64c4eec7f40a920ea72a2f47e28ca53b3,2,1,,"Windows only, bug may be related to *.ps1"
ansible,6,18a66e291dad71128a32d662aa808213acefe0e9,https://github.com/ansible/ansible/commit/18a66e291dad71128a32d662aa808213acefe0e9,1,1,1,
ansible,7,a20a52701402a12f91396549df04ac55809f68e9,https://github.com/ansible/ansible/commit/a20a52701402a12f91396549df04ac55809f68e9,3,3,3,
ansible,8,3c3ffc09c203d1b2262f6a319cceadd727749761,https://github.com/ansible/ansible/commit/3c3ffc09c203d1b2262f6a319cceadd727749761,1,1,1,
ansible,9,4881af2e7e0506ada0225fd764e874e20569d5b2,https://github.com/ansible/ansible/commit/4881af2e7e0506ada0225fd764e874e20569d5b2,1,1,1,
ansible,10,4ec1437212b2fb3c313e44ed5a76b105f2151622,https://github.com/ansible/ansible/commit/4ec1437212b2fb3c313e44ed5a76b105f2151622,1,1,1,
ansible,11,fe454d27a1aa5386801563ffe8dde44064f84302,https://github.com/ansible/ansible/commit/fe454d27a1aa5386801563ffe8dde44064f84302,3,1,,
ansible,12,fc7980af9a42676913b4054163570ee438b82e9c,https://github.com/ansible/ansible/commit/fc7980af9a42676913b4054163570ee438b82e9c,1,1,1,Windows only
ansible,13,6f1bb37feb81acd99157f5ba0933fecd747015a2,https://github.com/ansible/ansible/commit/6f1bb37feb81acd99157f5ba0933fecd747015a2,1,1,1,
ansible,14,a4b59d021368285490f7cda50c11ac4f7a8030b5,https://github.com/ansible/ansible/commit/a4b59d021368285490f7cda50c11ac4f7a8030b5,1,1,1,
ansible,15,52f3ce8a808f943561803bd664e695fed1841fe8,https://github.com/ansible/ansible/commit/52f3ce8a808f943561803bd664e695fed1841fe8,1,1,1,
ansible,16,2fa8f9cfd80daf32c7d222190edf7cfc7234582a,https://github.com/ansible/ansible/commit/2fa8f9cfd80daf32c7d222190edf7cfc7234582a,1,1,1,
ansible,17,694ef5660d45fcb97c9beea5b2750f6eadcf5e93,https://github.com/ansible/ansible/commit/694ef5660d45fcb97c9beea5b2750f6eadcf5e93,1,1,1,
ansible,18,3252665a949ec14fb60434589e47720afbadd6c9,https://github.com/ansible/ansible/commit/3252665a949ec14fb60434589e47720afbadd6c9,2,3,,
ansible,19,7acae62fa849481b2a5e2e2d56961c5e1dcea96c,https://github.com/ansible/ansible/commit/7acae62fa849481b2a5e2e2d56961c5e1dcea96c,1,1,1,
ansible,20,68de182555b185737353e780882159a3d213908c,https://github.com/ansible/ansible/commit/68de182555b185737353e780882159a3d213908c,1,1,1,
ansible,21,4cad7e479c922cd973015fd1cf4bd5e5890158de,https://github.com/ansible/ansible/commit/4cad7e479c922cd973015fd1cf4bd5e5890158de,3,1,,
ansible,22,918f768890a32d5f1b03bd1d4d4de3f48261b63e,https://github.com/ansible/ansible/commit/918f768890a32d5f1b03bd1d4d4de3f48261b63e,3,3,3,
ansible,23,f1d568749fd24b9a874b11804fc2775cfbad8821,https://github.com/ansible/ansible/commit/f1d568749fd24b9a874b11804fc2775cfbad8821,2,3,,
ansible,24,93d9d640380252084855885ad27873b4377898ec,https://github.com/ansible/ansible/commit/93d9d640380252084855885ad27873b4377898ec,1,1,1,
ansible,25,b38cb37728df76e0529243bdce694b18ca0e1163,https://github.com/ansible/ansible/commit/b38cb37728df76e0529243bdce694b18ca0e1163,1,1,1,
ansible,26,e80f8048ee027ab0c7c8b5912fb6c69c44fb877a,https://github.com/ansible/ansible/commit/e80f8048ee027ab0c7c8b5912fb6c69c44fb877a,3,1,,
ansible,27,056aac1e3012d0e65991b73f2478b844b7cbdfc8,https://github.com/ansible/ansible/commit/056aac1e3012d0e65991b73f2478b844b7cbdfc8,1,1,1,
ansible,28,5a769a5a4dd7bb626ed7f098c7751280ec92f204,https://github.com/ansible/ansible/commit/5a769a5a4dd7bb626ed7f098c7751280ec92f204,1?,1,,"""Removed logic that would never be triggered from
lib/ansible/constants.py"""
black,1,c0a7582e3d4cc8bec3b7f5a6c52b36880dcb57d7,https://github.com/psf/black/commit/c0a7582e3d4cc8bec3b7f5a6c52b36880dcb57d7,1,1,1,
black,2,892eddacd215d685e136686b7f629ade70adca83,https://github.com/psf/black/commit/892eddacd215d685e136686b7f629ade70adca83,3,3,3,
black,3,7a14a37981862ef418f3cdb4a7e2375856f97529,https://github.com/psf/black/commit/7a14a37981862ef418f3cdb4a7e2375856f97529,1,1,1,
black,4,c7495b9aa098ef7a358fc74556359d21c6a4ba11,https://github.com/psf/black/commit/c7495b9aa098ef7a358fc74556359d21c6a4ba11,1,1,1,
black,5,9394de150ebf0adc426523f46dc08e8b2b2b0b63,https://github.com/psf/black/commit/9394de150ebf0adc426523f46dc08e8b2b2b0b63,1,1,1,
black,6,f8617f975d56e81cfb4070ce65584f7b29a77e7a,https://github.com/psf/black/commit/f8617f975d56e81cfb4070ce65584f7b29a77e7a,2,2,2,
black,7,de806405d2934b629d67e2a6317ad7e826765a20,https://github.com/psf/black/commit/de806405d2934b629d67e2a6317ad7e826765a20,1,1,1,
black,8,6b994fdb8ab70ce4c2eafb8f2f0ff2648f3ff1ef,https://github.com/psf/black/commit/6b994fdb8ab70ce4c2eafb8f2f0ff2648f3ff1ef,1,1,1,
black,9,d6db1c12a8e14833fe22da377cddc2bd1f43dc14,https://github.com/psf/black/commit/d6db1c12a8e14833fe22da377cddc2bd1f43dc14,1,1,1,
black,10,66aa676278948368dff251dffd58c850cb8b889e,https://github.com/psf/black/commit/66aa676278948368dff251dffd58c850cb8b889e,1,1,1,
