,message,expected,justification,uncertain
181,"(FLOW-718) Save flow as template (#5894)

* change param name to be more generic for saving as template

* support reset context

* new api to save flow as template

* let flow model decide if contexts should be reset on clone

* fix params",TRUE,,
37,"(FLOW-730) Override update question and add question_type prop (#5893)

* override update question and add question_type prop

* call super",FALSE,,
276,"(FLOW-816) Linked questions (#5926)

* support more variables types

* update questions variables

* move relation

* add project id relation

* trigger flow variables update

* fix test

* only create variable when there's a question

* fix test

* use flow.editable_revision when editing a revision

* fix id

* rename and skip if no connected property preset

* add connecetd block id

* fix relations

* fix for updating

* new variables types

* return empty array and not [nil]

* try to fix annoying inheritance bug

* fix

* use variable_id instead of block_id when updating variable",TRUE,fix relations,
28,ACM-1359: Merge remote-tracking branch 'origin/ACM-1539_pr_merged_while_in_status_incorrect_filter' into ACM-1359_pr_merge_without_review,FALSE,,
157,ACM-1517: fix tooltip display,TRUE,,
163,"ACM-1526 fixed prev migration and declatiosn, added prefix to create migration script, added migration for orchestrator",TRUE,,
162,ACM-1526 fixed tests,FALSE,,
161,ACM-1526 tmp compilation fix,TRUE,,
164,ACM-1526: CR fixes,FALSE,CR,
159,ACM-1526: fix migration,TRUE,,
160,ACM-1526: fix view,TRUE,,
10,ACM-1529: change filters; make settings req; change max periods to 35,FALSE,,
9,ACM-1529: reset filters when changing teams,FALSE,,
173,ACM-1531: Added missing entity tester,TRUE,added missing,
172,ACM-1531: Fixed missing privileges,TRUE,,
171,ACM-1531: Initial preparer tests along with some bug fixes,TRUE,,
174,ACM-1531: Permission fix for api,TRUE,,
169,ACM-1531: Typo fix,FALSE,typo,
176,ACM-1531: bug fix + tests for the graph client,TRUE,,
175,ACM-1531: fix typing issue when iterating over union of arrays,FALSE,,TRUE
167,ACM-1531: some bug fixes along with a new test for the processor,TRUE,,
168,ACM-1531: test fixes for (changed metric name),FALSE,test,TRUE
170,ACM-1531: yet another test fix,FALSE,test,TRUE
177,ACM-1532: CR fix,FALSE,cr,
17,ACM-1534 - HotFix filter count,TRUE,hotfix,TRUE
19,ACM-1534: replace quotes with single quotes,FALSE,,
188,ACM-1537: fix jsx className,TRUE,name,TRUE
