repo_name,commit,message,Is_performance,Is_Fix,Is_performance_Fix,Justification,Certain,Comment,Sampling
NyxStudios/TShock,ec33752131674b209f14d1bf08e6bb7d25e42508,"Update submodule for hardmode tilefix & packet performance
",TRUE,,,performance,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
nwjs/chromium.src,31029cc67439f0e23a4a43f450fa21e6818f0c20,"Add new pyauto performance suite to be run by lab machines.

BUG=None
TEST=None

Review URL: https://chromiumcodereview.appspot.com/9838020

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@128309 0039d316-1c4b-4281-b951-d872f2087c98
",FALSE,,,performance suite,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
tprrt/linux-stable,158ca1d75dd0d6223f3b1dd741d30777da62ab80,"eeepc-laptop: support for super hybrid engine (SHE)

The older eeepc-acpi driver allowed to control the SHE performance
preset through a ACPI function for just this purpose. SHE underclocks
and undervolts the FSB and undervolts the CPU (at preset 2,
""powersave""), or slightly overclocks the CPU (at preset 0,
""performance""). Preset 1 is the default setting with default clocks and
voltage.

The new eeepc-laptop driver doesn't support it anymore.
The attached patch adds support for it to eeepc-laptop. It's very
straight-forward and almost trivial.

Signed-off-by: Grigori Goronzy <79e2475f81a6317276bf7cbb3958b20d289b78df@chown.ath.cx>
Signed-off-by: Corentin Chary <298d22bb5b8e08c296f77ec9e7162462cf47b8a1@iksaif.net>
Signed-off-by: Len Brown <b060cfa1096cc6e8be83699ddb4ed8a77dd63af5@intel.com>
",TRUE,,,performance,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
kubernetes/kubernetes,874fca652d1a6ad3ff2807f331338042769f900a,"Merge pull request #38086 from tianshapjq/reduce-decode-times

Automatic merge from submit-queue

Reduce decode times by changing the kubectl.Filter(runtime.Object, *PrintOptions)'s return values

**What this PR does / why we need it**:
In kubectl/cmd/get.go, we use the function filterFuncs.Filter() to decode data and filter the object. But in the following function printer.PrintObj() decodes the data again.
I made these modifications to reduce the decoding times by changing the filterFuncs.Filter()'s returned values. We can get the decoded object from this function and pass it to the following printer.PrintObj(), so not to waste time to decode again.",TRUE,,,reduce time,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
openstack/tripleo-heat-templates,db35747962ff8d00ac903cd1e153f5b25a78e33a,"Add support to configure token caching

Add a new parameter named KeystoneEnableTokenCaching to enable
caching for keystone token to improve performance related to
token management.

Depends-on: https://review.opendev.org/#/c/683010
Change-Id: Id8b33837eebbe18417d4c349e73817aa8f660091
",TRUE,,,improve performance,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
apple/swift,7de97064036d18a8259b489b37f78c0d608f76f2,"IRGen/Runtime: Expose extra inhabitants of class protocol types.

This gives 'id?' and other optional class protocol types optimal representation consistent with class types.

Swift SVN r10346
",FALSE,,,runtime,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
marcopennekamp/lore,259966b4207cca8a27c298ce69c7fc806bf55c48,"Add runtime shape type equality.
",FALSE,,,runtime,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
OpenRA/OpenRA,bc7aa9a491deeedbea027e76680aab786eab9af4,"make Health.MaxHP not readonly; some people want to frob it at runtime
",FALSE,,,runtime,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
b2ihealthcare/snow-owl,002099955e532c7b8939ab1d81c17eb1f82eb748,"[snomed] Don't check status in InactivationExpander

Unboxing Booleans is unexpectedly slow when running in a loop.",TRUE,,,slow,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
Pathoschild/SMAPI,860b30443ec47ceb271a008c26f3b358cf7bb409,"simplify performance details output
",FALSE,,,simplify,,,25_mar_2021_pos_2be15899b72484a3927b01a57b476cf6e8b76188
tprrt/linux-stable,ba817a8cfc2e128b59af7fe8b6af72ed38763b87,"thermal: ti-soc-thermal: Fix ti_thermal_unregister_cpu_cooling NULL pointer on unload

While debugging some PM issues and trying to remove all the loaded modules, I ran
across the following when unloading ti-soc-thermal:

Unable to handle kernel NULL pointer dereference at virtual address 000000b4
...
[<c08db340>] (kobject_put) from [<bf28954c>] (ti_thermal_unregister_cpu_cooling+0x20/0x28 [ti_soc_thermal])
[<bf28954c>] (ti_thermal_unregister_cpu_cooling [ti_soc_thermal]) from [<bf287c88>] (ti_bandgap_remove+0x3c/0x104 [ti_soc_thermal])
[<bf287c88>] (ti_bandgap_remove [ti_soc_thermal]) from [<c0610d48>] (platform_drv_remove+0x24/0x3c)
[<c0610d48>] (platform_drv_remove) from [<c060f114>] (device_release_driver_internal+0x160/0x208)
[<c060f114>] (device_release_driver_internal) from [<c060f200>] (driver_detach+0x38/0x6c)
[<c060f200>] (driver_detach) from [<c060e2d4>] (bus_remove_driver+0x4c/0xa0)
[<c060e2d4>] (bus_remove_driver) from [<c01f2370>] (SyS_delete_module+0x168/0x238)
[<c01f2370>] (SyS_delete_module) from [<c0108240>] (ret_fast_syscall+0x0/0x28)

Cc: Keerthy <bd0da4b944f4f5c71572cb1afabf3c293f45b4c8@ti.com>
Signed-off-by: Tony Lindgren <1001e8702733cced254345e193c88aaa47a4f5de@atomide.com>
Signed-off-by: Eduardo Valentin <19583d7f5a73f900a77b3924aabdcb631a4c7608@gmail.com>
",FALSE,,,cpu,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
envoyproxy/envoy-wasm,b7e47bd2bdc30e1d6fdd2c4263c53b2a9439ad52,"Code Optimization (#12512)

1. Reduce code repetition:
    * In 'admin.cc': There are many times of  ```get()``` from ```absl::optional``` for the same value. Similar for ```host->address()->asString()```. So I merged them together to avoid multiple calls for the same value.

    *  Similar problem inside ""connection_handler_impl.cc""
2. Adopt pair binding feature in C++ 17. 

Risk Level: Low

Signed-off-by: pingsun <3da978bb0b31aa38c9d773cee28bb0e9208ba73b@google.com>",FALSE,,,code optimization,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
tobiipro/support-firecloud,20e3173c88a4c154058b222b889178f8b14946b9,"try to optimize chown /home/linuxbrew
",FALSE,,,optimize,,by code,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
couchbase/ns_server,7598a413364daaf5281ded6ec58af2ea7712c58f,"increase small graphs plotting speed by delaying html updates

Chrome Dev Tools indicate that code that updates last values triggers
layout recomputations when we start to plot next graph. So we batch
text updates separately.

Change-Id: If92233e8193122176ce587d5127472eff8116ede
Reviewed-on: http://review.membase.org/4425
Tested-by: Aliaksey Kandratsenka <340b8e09ca65cd3fc686427fcfed17e87eaf61e2@gmail.com>
Reviewed-by: Benjamin Young <399aded95f850edb83f13cae14dbe3e10ed19071@bigbluehat.com>
",TRUE,,,increase speed,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
threatgrid/ctia,75fa716fb30579a382b9da71b37b76e120b1c40a,"Warm .m2 cache in prebuild and build master pushes to share Actions caches (#1087)

<!-- Specify linked issues and REMOVE THE UNUSED LINES -->

Close https://github.com/threatgrid/iroh/issues/4904
Close https://github.com/threatgrid/iroh/issues/4520

This PR fixes a couple of vaguely related problems.

1. First builds for PR's never retrieved caches. This is because PR's can only share caches from upstream branches (which were never built!), and meant auto-balanced tests were disabled until the PR's second build.
2. Because there was no cache, another issue was exposed: maven deps were being downloaded *after* fanning out the build 10 ways, and were hitting some sort of rate limiting (or flakiness) from maven repositories.

To fix the first issue, we now build the master branch to make caches available to PR's (master is always upstream from PR's).

For the second issue, I added smarter cache logic to detect whether dependencies need downloading, and, if so, to download them *before* fanning out the build. I also added retry logic wherever we need to download something.

To more easily test this PR, I used some conventions to clear caches when needed.

Review notes:
- see `workaround cache eviction` commit for evidence that cacheless commits build (16m build, no auto-balancing)
- subsequent commit uses cache (12m build w/ auto-balancing)
- we won't be able to see if building master pushes really fixes things until this is merged

<!--

Describe your PR for reviewers.
Don't forget to set correct labels (User Facing / Beta / Feature Flag)
If there is UI change please add a screen capture.
-->

<!-- UNCOMMENT THIS SECTION IF NEEDED
<a name=""iroh-services-clients"">[§](#iroh-services-clients)</a> IROH Services Clients
=====================================================================================

Put all informations that need to be communicated to IROH Services Clients.
Typically IROH-UI, ATS Integration, Orbital, etc...
 -->

<a name=""qa"">[§](#qa)</a> QA
============================

<!--
Describe the steps to test your PR.

1.
2.
3.

Or if no QA is needed keep it as is.
 -->
No QA is needed.

<!-- UNCOMMENT THIS SECTION IF NEEDED
<a name=""ops"">[§](#ops)</a> Ops
===============================

  Specify Ops related issues and documentation
- Config change needed: threatgrid/tenzin#
- Migration needed: threatgrid/tenzin#
- How to enable/disable that feature: (ex remove service from `bootstrap.cfg`, add scope to org)
-->

<!-- UNCOMMENT THIS SECTION IF NEEDED
<a name=""documentation"">[§](#documentation)</a> Documentation
=============================================================

  Public Facing documentation section;
- Public documentation updated needed: threatgrid/iroh-ui#
  See internal [doc file](./services/iroh-auth/doc/public-doc.org)
 -->

<a name=""release-notes"">[§](#release-notes)</a> Release Notes
=============================================================

<!-- REMOVE UNUSED LINES -->

```
intern: warm .m2 cache in prebuild
```

<a name=""squashed-commits"">[§](#squashed-commits)</a> Squashed Commits
======================================================================

",FALSE,,,second build,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
docker/docker.github.io,13483451dace164e4c35d2f0ce27e64b2c9f2480,"engine: More robust refresh loop.

- Random heartbeat (between 30 and 60 seconds).
- Requires 3 failures before marking a node as dead.

Signed-off-by: Andrea Luzzardi <442ffe3ffbfd024afcf0b7f8b108d05bca3aae43@gmail.com>
",FALSE,,,seconds,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
scalableminds/webknossos,a4f9e75b38e3593f0858aab8aabe465f8b410cde,"improved speed logging
",FALSE,,,speed logging,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
emacs-mirror/emacs,279066b2b3a56e94c4a5dc994e0349db03a52c09,"Attempt to fix time_t related problems with MinGW 4.0 runtime.

 nt/inc/mingw_time.h: New file.
 nt/inc/ms-w32.h: Include mingw_time.h instead of doing its job.

 src/w32proc.c: Include mingw_time.h.
 src/w32.c: Include mingw_time.h.
",FALSE,,,time_t problems,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
chromium/chromium,ee92e3890448e5d0fa00634d18308f0adb079211,"Make components/ownership transit SECKEYPrivateKey handles.

We'll later want to make this code use CHAPS directly, possibly with some
interface abstracting NSS and CHAPS. But RSAPrivateKey won't work as that
interface as it can't abstract between multiple private key implementations at
runtime. So switch it to SECKEYPrivateKey and NSS functions directly.

With this, the chimera build should be functional on Linux and CrOS apart from
client certificates.

This tightens the build so that components/ownership is only build on CrOS.
It's currently unused on other platforms, but still built as a test, with
NSS pieces #ifdef'd out.

BUG=478777

Review URL: https://codereview.chromium.org/1145613002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#331421}
",FALSE,,,runtime,,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
tgstation/-tg-station,1c01c44465ec7eeadcda4de9689560825287e166,"Fixes tray runtime (#46189)

",FALSE,,,runtime,by code,,25_mar_2021_pos_5c9e6072979831be46899b104d77c7125873da1c
apache/skywalking,479ee332440ae30e7dfa788232352d973f7c2b74,"Correct trace id in slow db statement (#2254)

* Correct trace id.

* Fix match.

* Add cover token to retry.

* Retry new test plugin.

* Reset to jacoco.

* Update jacoco version.
",TRUE,,,slow,FALSE,slow query tracing,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
andyholmes/gnome-shell-extension-gsconnect,e67cdb7e47e822fe41ad72b573c471e33da50502,"add telephony signals, optimize dbus exporting
",TRUE,,,optimize,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
